<PCA>								
<ID>	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
H30	10.42092	6.6955976	-0.63814056	-0.34194875	-1.5686554	1.4278498	-1.0386816	-3.7994337
H31	14.94923	11.862785	-1.5074582	0.24202912	-1.9403169	0.6618551	-0.29970625	-2.623732
H33	36.148758	29.840832	-4.0606422	0.13263647	-4.8844213	-2.481503	2.173897	2.1902223
H34	34.727703	28.98044	-3.9821596	0.10498289	-4.6857963	-2.1287117	1.8714037	1.9283428
H36	19.567944	15.252649	-1.9184875	-0.06365359	-2.7372053	0.40396467	-0.49793696	-2.4303994
H37	13.676408	-15.379364	4.0223475	6.84494	2.3622863	3.5993204	5.0453553	1.7039558
H38	35.034756	29.595428	-4.0618296	-0.036205646	-4.9985313	-2.1338158	1.775584	2.0062115
H39	29.58066	24.320364	-3.4088342	-0.2860334	-3.8191206	-1.3718857	1.0977886	0.55192685
H4	20.755377	5.9801307	1.1941206	4.4905086	16.425629	-3.8236744	-3.6336172	-0.038099658
H40	28.88353	24.09995	-3.3740473	-0.10982058	-3.8558807	-0.942755	1.3117262	0.4786419
H41	17.508602	13.660215	-1.702629	-0.5963382	-2.439761	0.45238283	-0.66090715	-2.7029185
H42	13.158676	5.509505	-0.34941632	2.1287985	3.0838454	0.8380697	-2.1812592	-1.0411476
H43	15.489149	11.284156	-1.5555559	-0.08063418	-2.5571682	1.0866294	-0.12439745	-3.0003037
H44	23.388428	19.397064	-2.6912405	-0.09500716	-3.09834	-0.40009987	0.36450422	-1.2140021
H45	19.900301	15.443192	-2.1684694	-0.007118138	-3.185984	-0.24954736	-0.06475669	-2.0207896
H46	14.511119	-12.864783	6.3586965	9.704246	42.205887	-7.729961	-9.189622	0.16203742
H47	8.572388	4.604651	-0.58298194	0.25900373	-1.078012	2.0431826	-1.497239	-4.617382
H49	26.942808	22.59768	-3.099748	-0.29411945	-3.503197	-0.96124715	0.7234993	-0.5379567
H5	20.759626	-1.2798014	3.6072993	8.010267	32.57319	-7.6917534	-6.5948777	1.0745476
